meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,2.17,2.17,2.17,2.27,2.17,2.29,3.4,3.26,3.4,3.4,3.4,3.4,3.4,3.4,3.4,ChangeInsulationRValueForExteriorWalls,r_value,3.4,3.4,3.4,3.4,3.4,3.4,3.44,3.4,3.53,4.23,4.03,4.72,4.72,5.18,5.82,ChangeInsulationRValueForExteriorWalls,r_value,2.17,2.17,2.17,2.27,2.17,2.29,3.44,3.26,3.53,4.23,4.03,4.72,4.72,5.18,5.82,3
ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,ChangeInsulationRValueForRoofs,r_value_roof,9.8,9.8,9.8,9.8,9.8,9.8,10.52,10.13,10.64,12.77,12.03,15.53,15.53,15.53,15.53,ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.52,10.13,10.64,12.77,12.03,15.53,15.53,15.53,15.53,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.69,0.69,0.69,0.69,0.69,0.69,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,0.62,0.62,2
ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,ChangeUValueandSHGCOfWindows,window_shgc,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,2
ReplaceLightsInSpaceTypeWithLPD,lpd,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,ReplaceLightsInSpaceTypeWithLPD,lpd,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,ReplaceLightsInSpaceTypeWithLPD,lpd,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,3
ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,4
AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AddOverhangsByProjectionFactor,projection_factor,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
